21|,9|,2
21|,11|,8
21|,6|,5
21|,10|,13
21|,19|,34
21|,4|,1
21|,24|,10
21|,18|,16
21|,17|,37
21|,13|,2
21|,14|,2
21|,8|,4
21|,23|,36
21|,22|,2
21|,12|,1
21|,20|,28
21|,16|,18
9|,21|,1
9|,19|,74
9|,3|,3
9|,11|,1704
9|,24|,35
9|,29|,1
9|,10|,218
9|,15|,8
9|,7|,2
9|,18|,104
9|,17|,63
9|,13|,45
9|,14|,1617
9|,26|,3
9|,20|,1
9|,16|,214
9|,12|,95
9|,22|,3
9|,8|,5
3|,5|,70
3|,11|,18
3|,9|,12
3|,10|,71
3|,7|,194
3|,18|,8
3|,17|,13
3|,19|,11
3|,2|,115
3|,8|,1
3|,12|,5
3|,16|,31
6|,21|,3
6|,5|,34
6|,11|,7
6|,9|,1
6|,10|,3
6|,4|,6
6|,1|,26
6|,18|,7
6|,17|,1
6|,19|,4
6|,14|,1
6|,8|,8
6|,22|,1
6|,16|,11
29|,30|,1
29|,14|,1
29|,18|,3
29|,16|,1
29|,31|,2
29|,11|,3
29|,17|,2
29|,13|,1
29|,28|,7
5|,3|,31
5|,11|,4
5|,24|,1
5|,10|,6
5|,7|,3
5|,18|,4
5|,17|,3
5|,19|,5
5|,14|,3
5|,8|,12
5|,16|,13
5|,12|,1
5|,6|,42
10|,5|,1
10|,3|,235
10|,11|,4203
10|,24|,61
10|,9|,135
10|,15|,3
10|,7|,373
10|,18|,1554
10|,13|,87
10|,17|,186
10|,1|,1
10|,19|,120
10|,14|,35
10|,26|,2
10|,23|,2
10|,2|,1
10|,22|,6
10|,16|,4323
10|,12|,31
10|,8|,6
15|,9|,96
15|,3|,1
15|,24|,272
15|,10|,89
15|,13|,145
15|,17|,106
15|,30|,30
15|,2|,1
15|,8|,6
15|,31|,4
15|,23|,1
15|,20|,3
15|,12|,708
15|,22|,6
15|,16|,188
15|,11|,269
15|,7|,2
15|,18|,115
15|,19|,92
15|,14|,386
15|,26|,33
15|,25|,2
33|,39|,2
33|,27|,1
33|,35|,42
33|,15|,1
33|,32|,6
33|,34|,4
32|,27|,6
32|,11|,1
32|,35|,2
32|,31|,5
32|,33|,41
32|,16|,2
32|,41|,1
32|,17|,1
1|,9|,2
1|,11|,7
1|,6|,4
1|,10|,9
1|,7|,1
1|,4|,33
1|,24|,3
1|,18|,3
1|,17|,10
1|,13|,1
1|,2|,11
1|,8|,1
1|,23|,1
1|,22|,2
1|,19|,4
1|,16|,16
13|,21|,1
13|,9|,39
13|,3|,1
13|,11|,2627
13|,24|,1230
13|,10|,127
13|,15|,3
13|,7|,1
13|,18|,3136
13|,17|,97
13|,19|,104
13|,14|,26
13|,8|,6
13|,25|,1
13|,23|,1
13|,20|,2
13|,12|,2048
13|,22|,6
13|,16|,179
17|,22|,9
17|,9|,21
17|,11|,93
17|,24|,50
17|,10|,159
17|,15|,2
17|,7|,18
17|,18|,802
17|,13|,52
17|,14|,11
17|,8|,227
17|,19|,2663
17|,25|,1
17|,26|,4
17|,12|,9
17|,20|,4
17|,16|,1819
30|,19|,1
30|,11|,5
30|,29|,16
30|,10|,1
30|,15|,3
30|,16|,1
30|,17|,4
2|,9|,2
2|,3|,26
2|,11|,6
2|,24|,2
2|,5|,1
2|,10|,9
2|,1|,58
2|,18|,1
2|,17|,4
2|,19|,4
2|,12|,1
2|,16|,11
8|,5|,19
8|,11|,4
8|,6|,56
8|,9|,2
8|,10|,27
8|,7|,202
8|,18|,18
8|,17|,58
8|,19|,150
8|,14|,3
8|,13|,4
8|,20|,91
8|,16|,55
8|,12|,2
8|,24|,4
16|,21|,1
16|,5|,1
16|,11|,274
16|,24|,57
16|,9|,70
16|,10|,5666
16|,15|,3
16|,7|,753
16|,1|,1
16|,18|,3599
16|,17|,1584
16|,13|,76
16|,19|,159
16|,14|,29
16|,8|,11
16|,23|,1
16|,20|,6
16|,12|,21
16|,22|,9
31|,18|,1
31|,29|,1
31|,10|,1
31|,15|,1
31|,32|,4
31|,41|,3
31|,13|,2
31|,16|,1
23|,21|,24
23|,9|,1
23|,27|,6
23|,11|,8
23|,24|,15
23|,10|,15
23|,18|,8
23|,17|,16
23|,13|,1
23|,8|,3
23|,19|,54
23|,25|,31
23|,12|,1
23|,22|,48
23|,16|,10
25|,9|,2
25|,27|,14
25|,11|,3
25|,24|,11
25|,38|,4
25|,10|,4
25|,15|,1
25|,13|,5
25|,17|,4
25|,19|,13
25|,14|,1
25|,18|,8
25|,23|,13
25|,22|,1
25|,37|,22
25|,16|,4
12|,21|,1
12|,9|,41
12|,11|,3633
12|,24|,106
12|,8|,2
12|,10|,75
12|,15|,35
12|,7|,1
12|,18|,60
12|,17|,44
12|,13|,1326
12|,14|,3816
12|,26|,1
12|,19|,40
12|,22|,1
12|,20|,1
12|,16|,64
22|,9|,7
22|,27|,1
22|,11|,22
22|,24|,87
22|,19|,752
22|,10|,26
22|,15|,1
22|,7|,1
22|,18|,81
22|,17|,43
22|,13|,9
22|,14|,5
22|,8|,7
22|,23|,161
22|,20|,75
22|,26|,140
22|,12|,1
22|,16|,37
36|,19|,1
36|,39|,7
36|,11|,2
36|,24|,1
36|,17|,3
36|,22|,1
36|,4|,1
36|,12|,1
36|,37|,5
36|,16|,2
24|,9|,21
24|,27|,1
24|,11|,94
24|,6|,1
24|,10|,62
